19 7 9 2 19 22 6 14 10 17 7 16 6 14 15 15 11 4 11 10
16 9 10 12 13 6 6 3 2 10 10 2 20 1 8 12 2 23 16 2
8 7 11 9 5 4 3 13 17 4 4 9 2 4 10 9 5 3 9 19
22 13 18 10 16 15 6 9 10 12 8 12 22 13 11 17 18 7 6 6
8 11 1 15 2 14 2 1 1 1 9 2 9 3 2 3 1 4 2 3
2 2 2 5 3 5 6 4 7 3 6 8 2 10 4 1 3 13 1 10
