8.888786432749135047e-01 7.979659120057431831e-01
8.397565717116768358e-01 7.712792450557984791e-01
8.486960834333459047e-01 8.028623482898125108e-01
8.500837265760016193e-01 8.174242276324713563e-01
8.552950421880823884e-01 8.194223853219562148e-01
8.392061184345431801e-01 7.884142284466898465e-01
8.342118769299450287e-01 8.006310327528926019e-01
8.510857036933773268e-01 7.958405327993023359e-01
8.481137977453933052e-01 7.834115510150611028e-01
8.437764203864598356e-01 7.972386481514939227e-01
8.532628458766844393e-01 8.461804047739991397e-01
8.453909921281309581e-01 8.437611771471137390e-01
8.481103274093184652e-01 8.245735618063994021e-01
8.448856637698698435e-01 8.386603011554678577e-01
8.340171872715644863e-01 8.499700279289561511e-01
8.484410528345336377e-01 8.424799883050408944e-01
